Company Name,Website,Clearbit Logo URL,Category,Domain,@dropdown,Type/Category,Geographic Coverage,Loan Size Range,Email/Phone,Products,Sectors Served,CITR Accredited,LinkedIn/Twitter,FCA Status,Notes,Source
365 Finance,https://www.365finance.co.uk,https://www.google.com/s2/favicons?domain=www.365finance.co.uk&sz=128,Alternative Lender,365finance.co.uk
4Syte,https://www.4sytefunding.co.uk,https://www.google.com/s2/favicons?domain=www.4sytefunding.co.uk&sz=128,Alternative Lender,4sytefunding.co.uk
AIB Commercial Finance,https://aib.co.uk/commercial-finance,https://www.google.com/s2/favicons?domain=aib.co.uk&sz=128,Invoice Finance,aib.co.uk
ART Business Loans,https://www.artbusinessloans.co.uk,https://www.google.com/s2/favicons?domain=www.artbusinessloans.co.uk&sz=128,CDFI,artbusinessloans.co.uk
Abundance Investment,https://www.abundanceinvestment.com,https://www.google.com/s2/favicons?domain=www.abundanceinvestment.com&sz=128,P2P,abundanceinvestment.com
Accelerated Payments,https://acceleratedpayments.com/,https://www.google.com/s2/favicons?domain=acceleratedpayments.com&sz=128,,,,Invoice Finance,UK (National),Various,Contact via website,Invoice finance,SMEs,No,,FCA Regulated,Invoice finance provider,FundInvoice List
Accident Credit Group,https://www.accidentcreditgroup.com,https://www.google.com/s2/favicons?domain=www.accidentcreditgroup.com&sz=128,Specialty Finance,accidentcreditgroup.com
Admiral Leasing,https://www.admiral-leasing.co.uk,https://www.google.com/s2/favicons?domain=www.admiral-leasing.co.uk&sz=128,Asset Finance,admiral-leasing.co.uk
Aldermore,https://www.aldermore.co.uk,https://www.google.com/s2/favicons?domain=www.aldermore.co.uk&sz=128,Asset Finance,aldermore.co.uk
Aldermore Bank,https://www.aldermore.co.uk,https://www.google.com/s2/favicons?domain=www.aldermore.co.uk&sz=128,,,,Asset Finance / Bank,UK (National),Up to £25m,Contact via website,"Asset finance, invoice finance, trade finance",SMEs,No,@Aldermore,FCA Regulated (Bank),Challenger bank specializing in SMEs,Asset Finance Research
Allica Bank,https://www.allica.bank,https://www.google.com/s2/favicons?domain=www.allica.bank&sz=128,Challenger Bank,allica.bank
Anna Money,https://www.anna.money,https://www.google.com/s2/favicons?domain=www.anna.money&sz=128,Challenger Bank,anna.money
