Company Name,Website,Type/Category,Geographic Coverage,Loan Size Range,Email/Phone,Products,Sectors Served,CITR Accredited,LinkedIn/Twitter,FCA Status,Notes,Source
BCRS Business Loans,https://www.bcrs.org.uk,CDFI - Commercial Lending,"West Midlands, Wales","£10,000 - £250,000","0345 313 8410, enquiries@bcrs.org.uk","Business loans, CIEF delivery, MEIF II delivery",All sectors - viable businesses,Yes,@B_C_R_S,FCA Regulated,"£100m+ total lending milestone, Black Country Reinvestment Society",Responsible Finance
Business Enterprise Fund (BEF),https://www.befund.org,CDFI - Commercial Lending,"Yorkshire, Lancashire, North East England","£500 - £250,000",Contact via website,"Business loans, Start Up Loans, Microfinance, CIEF delivery",SMEs and social enterprises,Yes (as Business and Enterprise Finance),@BE_Fund,FCA Regulated,"£108m invested over 11 years, 13,140 jobs created/safeguarded",Responsible Finance
Finance for Enterprise (FFE),https://www.ffe.org.uk,CDFI - Commercial Lending,England (national),"Up to £250,000",Contact via website,"Business loans, Recovery Loan Scheme, CIEF delivery",All sectors SMEs,Yes,N/A,FCA Regulated (718612),"Operating since 1985, CIEF delivery partner",Responsible Finance
SWIG Finance,https://www.swigfinance.co.uk,CDFI - Commercial Lending,"South West, West Country",Various (CIEF £10m facility),"01872 227 930, info@swigfinance.co.uk","Business loans, Start Up Loans, CIEF delivery",Small businesses,"Yes (SWIG 7 Limited, SWIG Finance Limited)",LinkedIn,FCA Regulated,"£14m lent in 2023/24, 500 businesses, £10m CIEF allocation 2025","Responsible Finance, CIEF"
DSL Business Finance,https://www.dsl-businessfinance.co.uk,CDFI - Commercial Lending,Scotland,"£1,000 - £100,000",Contact via website,"Business loans, social enterprise loans, Investment Fund for Scotland",Small businesses and social enterprises,Yes,@ScotMicFund,FCA Regulated,Part of Investment Fund for Scotland £25k-£100k pot,Responsible Finance
Social Investment Scotland (SIS),https://www.socialinvestmentscotland.com,CDFI - Social Lending & Fund Manager,"Scotland, manages CIEF for England/Wales","£25,000 - £875,000 (Scotland), manages CIEF",hello@socialinvestmentscotland.com,"Social enterprise loans, charity loans, CIEF fund management","Social enterprises, charities, community groups",Yes (Community Finance),LinkedIn,FCA Regulated,"£52m active loans 2024/25, manages £72m CIEF fund",CIEF Fund Manager
ART Business Loans,https://www.artbusinessloans.co.uk,CDFI - Commercial Lending,West Midlands,"£10,000 - £150,000",Contact via website,Business and social enterprise loans,All sectors,No (but RF member),@ART_BizLoans,FCA Regulated,Pioneering finance provider,Responsible Finance
Coventry and Warwickshire Reinvestment Trust (CWRT),https://www.cwrt.uk.com,CDFI - Commercial Lending,Coventry and Warwickshire,"£1,000 - £150,000",Contact via website,Business loans for start-ups and SMEs,All sectors,Yes,@CandWRT,FCA Regulated,Supporting start-ups and SMEs,Responsible Finance
Let's Do Business Finance (Capitalise Business Support),https://letsdобusinessfinance.co.uk,CDFI - Commercial Lending,Regional (UK),Various,Contact via website,Business finance,SMEs,Yes,N/A,FCA Regulated,Trading name for Capitalise Business Support,CITR List
Charity Bank,https://www.charitybank.org,CDFI - Social/Charity Lending,UK,"£50,000 - £10 million+",Contact via website,"Loans to charities, social enterprises",Charities and social purpose organisations,Yes (Charity Bank 1 & 2),@CharityBank,FCA Regulated,1000+ loans totalling £300m+ since 2002,Responsible Finance
