task,route_to,requires_shaun,notes
hunt_companies_house_gazette,SLF-2,no,Stream A signals; drop fit<70 and SIG-06; queue-first against SME hopper
stream_a_lead_review,SLF-2,yes,Shaun accept/reject/snooze; book-lane never create; auto-push off
slf_package_to_nexus,SLF-2,yes,Adapter promote/enrich/create after accept
list_ingest_and_verify,LST-2,no,Operator CSV + book-missing mailboxes; refuse dumps
list_attach_director_mailbox,LST-2,no,attach_mailbox on existing deal; director primary; never guess info@; never create deal; Harper grades sendable
hunt_open_file_after_accept,RES-2,no,Attach mailbox and open gated deal; do not duplicate SLF book row
inbound_enquiry_open_file,RES-2,no,Always open
companies_house_single_match,RES-2,no,
companies_house_ambiguous_match,ORC-1,yes,waiting_human
contact_enrichment,RES-2,no,Elena inbound/introducer one retry then proceed or park
mailbox_harvest,RES-2,no,Harper desk: domain-locked SMTP harvest on every real SME file without an email including quarantine; skip test companies; never invent info@
cold_template_email,SAL-2,no,PECR stop line required; SMTP must be live
inbound_ack_pack_request,SAL-2,no,Request full Sterling 14
cadence_followup_email,SAL-2,no,OS timer
linkedin_copy,SAL-2,yes,Draft only; Shaun posts
phone_call,SAL-2,yes,Queue script; Shaun dials
customer_reply_non_pack,SAL-1,yes,Draft only; Shaun sends; runtime docs/agentic-org/strata-inbound
inbound_stop_unsubscribe,SAL-2,yes,Rowan suppresses; SAL-1 drafts nothing
opt_out_complaint_vulnerability,ORC-1,yes,Hard stop
pack_upload_received,FIN-2,no,Ingest immediately
pack_chase_named_gaps,SAL-2,no,After 2 failures queue Shaun
build_sfp,FIN-2,no,Missing listed never guessed
credit_memo_recommendation,FIN-2,yes,Checkpoint 1
bbb_inferrable,FIN-2,no,
bbb_not_inferrable,FIN-2,yes,
completeness_gate,FIN-2,no,Block send if fail
compile_sterling_zip,FIN-2,no,Only if gate pass
send_to_david,ORC-1,yes,Checkpoint 2
regulated_agreement_sole_trader,ORC-1,yes,Hard stop unregulated track
p0_hmrc_petition,RES-2,yes,Notify same hour; first template may send
spend_over_500,ORC-1,yes,
legal_agreement,ORC-1,yes,
market_scan_ammo_briefs,MKT-3,no,Creative Ammo Briefs only; never invent rates; never write final ad copy
brand_social_week,MKT-2,no,Isla writes from MKT-3 ammo; draft queue on /craft; Shaun posts
media_curator_hunt,MKT-4,no,Unsplash Pexels Openverse Firecrawl; click-save to My Uploads; allowlisted hosts only
email_template_compose,MKT-2,no,Craft engine plus merge tags; stills from My Uploads
marketing_campaign_send,MKT-2,yes,Draft freely; Shaun sends
craft_export_release,MKT-2,yes,Marketing approve then compliance sign-off; no export until both
social_publish_or_ads,MKT-2,yes,Never auto-post; ads draft only; spend uses £500 gate
change_agent_scope,ORC-1,yes,Update corporate_structure.md
accounts_xero_invoicing,NONE,yes,Hibernated Oliver
cfo_capital_strategist,NONE,yes,Hibernated Nathan
editorial_topic_scan,MKT-3,no,Notes only; official UK hosts; never invent rates; never write the article
editorial_draft,MKT-2,no,Blog or press release on /editorial; draft only
editorial_export,MKT-2,yes,Marketing approve then compliance sign-off; Markdown/HTML
editorial_publish,MKT-2,yes,Off-platform; never auto-post

